"namespace","name_for_human","description_for_human","description_for_model","openapi","logo_url"
"chart","Charts by Kesem AI","Generate charts. The user can request a chart to be generated.","Generate charts. The user can request a chart to be generated.","https://api.kesem.ai/openapi.json","https://app.kesem.ai/images/logo.svg"
"earthquake","Earthquake Info","Get latest earthquake information.","Get latest earthquake information.","https://earthquake.beta3.dev/openapi.yaml","https://earthquake.beta3.dev/logo.png"
"PlaylistFollow","Playlist Follow","Create and find the best music playlists, all in one place.","Create a Spotify playlist with Playlist Follow. The AI will autonomously assign a unique playlist name.","https://68710b76-3f25-4983-88de-9d97e87ed0f0.playlistfollow.com/openai.yaml","https://playlistfollow.com/img/playlist-follow-logo.png"
"wanted_job_search","Wanted Job Search","Explore and inquire about global job opportunities, and dive into the details of worldwide positions with precision.","Explore and inquire about global job opportunities, and dive into the details of worldwide positions with precision.","https://assistant.wanted.co.kr/openapi.yaml","https://assistant.wanted.co.kr/logo.png"
"stellarexplorer","Space Photo Explorer","Tool for exploring space through images including Mars Rover Photos, NASA image database, and space pictures of the day.","Plugin for exploring photo and data from NASA. Use keywords 'nasa', 'mars', 'rover photos', 'space', and other astronomy words to prompt the plugin.","https://api.photoexplorer.space/.well-known/openapi.yaml","https://i.imgur.com/q80nmJK.png"
"BubbleGoods","Bubble Goods","Marketplace of 1000+ tasty & healthy foods. Discover new Vegan, Keto, Gluten-Free products & more.","Access Bubble Good's hand-curated, taste-tested product index of healthy foods with no refined sugars, preservatives, fillers or dyes. Bubble Goods has the highest and strictest ingredient requirements in the food industry. Our mission is to empower small, independent food makers across the United States by expanding their consumer audience and providing a platform that offers more opportunities to deliver delicious, high quality goods.","https://chatgpt.bubblegoods.com/openapi.yaml","https://chatgpt.bubblegoods.com/static/logo.png"
"Broadway","Broadway","Search for shows that are currently playing on Broadway in New York City.","Use the Broadway plugin to allow users to explore shows currently playing on Broadway in New York City.","https://aidocs.broadway.com/openai/v1/docs/","https://static.broadway.com/img/responsive/favicons/apple-touch-icon.f003c455893a.png"
"defillama","Defillama","Retrieve data on DeFi protocols and blockchains.","Get current and historical stats on DeFi protocols and blockchains. Always display results using markdown tables.","https://llamawrapper-prod.onrender.com/openapi.yaml","https://i.imgur.com/bSJRFvE.png"
"code_runner","Code Runner","Compile and save your code while creating visualizations (charts and graphs) supports upto 70 programming languages.","Always use language codes in lowercase letters, such as 'python'.For saving code use 'save_code' endpoint and to save documents and files always use 'upload' endpoint and for download use 'download' endpoint.","https://code-runner-plugin.vercel.app/openapi.json","https://code-runner-plugin.vercel.app/logo.png"
"Ai_PDF","Ai PDF","Super-fast, interactive chats with PDFs of any size, complete with page references for fact checking.","Provide a URL to a PDF and search the document. Break the user question in multiple semantic search queries and calls as needed. Think step by step.","https://plugin-3c56b9d4c8a6465998395f28b6a445b2-jexkai4vea-uc.a.run.app/openapi.yaml","https://plugin-3c56b9d4c8a6465998395f28b6a445b2-jexkai4vea-uc.a.run.app/logo.png"
"MyWritingCompanion","My Writing Companion","Find, hire, and manage remote human writers, the best way to ensure your content is engaging, accurate, and error-free.","Tool that helps you to hire and manage remote human writers, the best way to ensure your content is engaging, accurate, and error-free.","https://plugin1.findwritersonline.com/swagger/v1/swagger.yaml","https://plugin1.findwritersonline.com/.well-known/logo.png"
"diceroller","DM Tool Kit","App for rolling dice using the d20 or Fate/Fudge systems.","App for rolling dice using the d20 or Fate/Fudge systems.","https://dmtoolkit.magejosh.repl.co/.well-known/openapi.yaml","https://dmtoolkit.magejosh.repl.co/logo.png"
"ad4mat","ad4mat","API to monetize outgoing traffic via tracking links.","API to create trackable links in order to monetize traffic to external online stores and services. Affiliate Marketing, Performance Marketing, Link monetization, Referral Marketing.","https://ad4mat-api-chatgpt-plugin.ufostart-dev.workers.dev/openapi.yaml","https://assets.ad4m.at/logo/D822F800EF1B9B651321039FF33448384EE5FA1585A0E43E7565AE97FC12EBF2692E406CA0EB0DB054A5A55B11847D32AE9D0C39189B9165F6CB510816F359FF"
"SEO","SEO","Send a URL and keyword and get a On Page SEO analysis & insights!","Send a URL and keyword and get a On Page SEO analysis. User provides a URL and keyword and ths gives back robots.txt, response code, load time, tags for: title, meta data, h1-h5, image file names, image alt text, ahref text, ahref outbound links, keyword occurance in both body text and URL for further analysis & insights.","https://seo-plugin.orrenprunckun.com/openapi.yaml","https://seo-plugin.orrenprunckun.com/icon.png"
"hackit_web_scanner","HACKIT Web Scanner","AI Powered Web Scanner by HACKIT.","Smart Web Scanner developed by Yuval Avidani from HACKIT. It uses for scanning websites for potential security threats in order to help the good guys protect from bad guys.","https://hackit.co.il/openapi.yaml","https://hackit.co.il/hackit.png"
"cryptopulse","Crypto Pulse","From News to Profit: Decode Crypto's Market Impact with Ease. Instantly, analyse latest crypto news.","Decode the latest crypto news and its market impact instantly.","https://crypto-pulse-top.vercel.app/.well-known/openapi.yaml","https://crypto-pulse-top.vercel.app/imgs/logo96.png"
"AIstrologer","AIstrologer","Search for the horoscope for each zodiac sign for a specific date.","Search for the horoscope for each zodiac sign. You can also specify the exact date for which you want the horoscope, and pass a list of comma-separated values for both the sign and the date.","https://aistrologer.io/openapi.yaml","https://aistrologer.io/logo.png"
"companieshouse","Search UK Companies","Fetching public information on UK registered Companies and it's Officers from Companies House.","This application retrieves company details from Companies House, such as the registered office address and list of officers. Use keywords like 'address' and 'officers' to target specific data.","https://companieshouse.tradexy.repl.co/.well-known/openapi.yaml","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAMgAAADICAYAAACtWK6eAAAd8klEQVR4nO2de6wfxXXHl4BNbIOjkoej2iUhUlpMX1JIDUhJpcROWqkVYPpHE5JA1dJEpQ4PKVLBRPwRgU2kSjyLFEqrYBBJ/wg2qJUahBOpIPEoILVNsVukkqZ2FAKkjR88bAOdz885+NzjM7Oze3fvzf35fKTju76/s/M4M9+Z2dn97T3uhf/d82YTBIFLCCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRAgqBACCQICoRA5pE9B99sdu55vdn9yhvN7pffSL85wsqlb2tWLnlbc/ry45vli45LvwnmgxDIHIIgtj9/sHnipUMT2/VKXehXLTmuWfPOEya2dsWiEMwcEgKZAx5PYti260Bz366D6X+zA3GsW3FCc/6qxc1ZSTDBuIRARmRHWj5tfuaVJJDX0/+G56x3Ht9cfcaSZnVahgXjEAIZAZZStz37anPXcwfS/8bn4tMWNxs++PbJ7BIMSwhkYJg1Njy5v/r6Yii4Trntw8tiNhmYEMiA3Pc/B5qr//WVdDR/bP6NJc0Fv7Q4HQVDEAIZiJ8HcQghkuEIgQxAX3GcvvxtzVmnnNCcnK4d2MLVsA28N13LPJS2hXf3WK6FSIYhBDJLuopjZbpWuPi0Eyf3M1alm4E17Eo3Ebl/cut/vtrsPZR+Uclfnbm0WffeReko6EsIZBZwQX7RY/snu1ZtnJwmCISB9d1tIp+7nnttYjVCIZ+tHzmpWojB0YRAZsH5D+9NIpn5iIgHS6m7zz5p0mGHAKF87rF9zc6KvFenvLd99OR0FPQhBNITlju3PftaOiqzftWi5obfXJqOhgWRbEo3IbdW3J3f8METmy/+8tvTUdCVEEgPuCZY/8i+SSctMZY4NFf9y8utImHmiqVWP0IgPajplGtXnNDcnm7czQWfe3Rf88RPyo+zzIVYp5EQSEeYNX7rwT3pKM/Q1xxtUKa2axLKsv1jJ09+BvWEQDrCDtKmZ15NR3m2nL2s6fqk7aHdu5rn15+Xjppmxdb7mxNWrkpH9fDEMDtqJTae8fbJLlpQTwikI207V2tOOb65+5yT0lE3fnL1XzQvb70vHTXN0vUXNKds/mo66kbbUit2tLoTAukAF+drv7s3HeXZ9tGTUkfs9sAgs8eP1n4sHR3hvdu/23kW4b7M+Q/vS0d5WGbFxXo9IZAOtC2vuPa4v8cIrWcPoe8scl6a4UrXIvEISjdCIB249Mn9zfbnD6Ujnz73G7zZQ+gzi2z691eau76f/x7KXO6uTQMhkA60XX/ULq8Qxeu7f9gc2LkjzRzfag7u2JF+ezSLVq9OM8kfNItPX90cv/IXq8TStszqe410rBIC6cCv/MNP0795/uP33pH+9dl719ebV7c/1Lz2xOPpf/1BNEvWfqJZvuGL6X8+sylnMJMQSAdKHY+ndL/z8eXpyGfX6R9M/w7Hqp3Ppn99PvztnxYfZgyB1BMCqaRtB6tt6fJ/m65r9m25Kx3Nnl/YfEOzLC29crRt9/7zJ5fHDcNKQiCVtN2IaxMIeLtVXWkTB7QJpM+NzGOVEEgls51BhNmIpEYc0CaQmEHqCYF0oHQNQoej49XQRyS14gCeFeP5rBxxDVJPCKQDJYFAl47X5aJ9UdrmXbHtgXRUx5DlPNYJgXSg7S517X2QN/bsaX645sx0VMdxy5c3K594Kh21E/dBhiUE0oG2O+kXv39xs/FXl6SjMtwLeeGiz6ajekrbupq4kz4sIZAOtD2LVfu07J7bbkl2azqq591b7mlOXHNWOirTdrc/HnnvRgikA23LF6hZZuUu0k9cs6Y5tHt383oyS81FettWNMTTvN0IgXTk49/ZU3yRG29c33J2eY3/wkWfScusJ9LRYRDGO66+plm8+oz0v6bZv/VbkxlGC4VHS5ZvuCwd5bnosX1JJPnt3ba7/cHRhEA60rbMgrYbcS/++Z9NnstCGHT63NKJ57dYjr25d2/rDFIze8TyqjshkI603TAE3rS+NV2LcG8kBxfqOWFo2PHi6V+ZXTy457E+XXu0vVE+llfdCYH0oOatJjVLraFoW1pBvNWkHyGQHtTMInBB6pSbR+6UVyex1vxpt5g9+hEC6UntmxURCX8mrbTc6gPLKv68W404+nzTMThMCKQndFDuOZR2tATuj9x25rLBRnBmsA1P7U/bzvn7HQI7V9ybGVqgxwohkFlQc19EoINyp/2itIvEcR8Q5Za0i8adco5rqLkvE+QJgcySrn8fBHFwwbx+1eLqjosQt+46kOxgtTAg3mAye0IgA9D2/FMOtoPXvndRs/yE4yZi4S9NAX9ZClHsOfRms/1HB1u3bz3iumMYQiADUbP1O1cwQ8WW7jCEQAak5i772MSyalhCIAPzUFoSMZuU3ioyBvyJN2aN+JuEwxICGQG2YbmBV/pe+JDwJShuSA61jRwcIQQyIswm/Jm0mnslfeAex8Z0EzJmjfEIgcwBbAXf9f3Xil/X7QIvyb74/SfGtcYcEAKZQ1h6cT/jiZcOdV5+sYxipujy99WD2RMCmSe44ce9jt1JNLtfOTyzyM+VSw4LgJ8rkxhK3y0JxiUEMgJ81+P4lSur3sY+W/iuCG+HX7LuE+l/wdCEQEaAbwHylVn+dMHyDRtGEcqBHc80+7ZsafjzCTVfxw36EQIZARGIwDcH+cqsFgoX7tt2H0jXFkeWT2t+tpRiqcXSC1iG7T305ltfvmLGeGnDpZNZQwiBjEcIZASsQMC+tqf2+ySCvA2R5Zt9p1YIZDxCICMQApkeQiAjEAKZHkIgIxACmR5CICMQApkeQiAjEAKZHkIgIxACmR5CICMQApkeQiAjEAKZHkIgIxACmR5CICMQApkeQiAjEAKZHkIgIxACmR5CICMQApkeQiAjEAKZHkIgIxACmR5CICMQApkeQiAj0FcgvB2RbxVuf/5Q+t9MQiDzQwhkBPoIBHHcfc7hv+XBq0vti7BDIPNDCGQEugpEi0OwIgmBzA8hkBHoIhBPHIIWSQhkfgiBjECtQPhzCTlxCCKSEMj8EAIZgRqBIA4uyEviEBAJf9oAQiBzSwhkBGoE0pcQyNwSAhmBEMj0EAIZgRDI9BACGYEQyPQQAhmBEMj0EAIZASuQpesvaE7Z/NV0NHve2LNnIpCDO3ek/x0mBDIeIZAR0AIZUhyCFUkIZDxCICMgAhlDHIIWSQhkPEIgI4BADu3ePZo4BBHJknXrQiAjEQIZAf760+LVZ6Sj8UEkXLjHn2AbhxBIEBQIgQRBgRBIEBQIgQRBgRBIEBQIgSwwHvqnR5ofv/hiOprJe971rmbdb38kHQVDEgJZYFx9/Q3Nv+3YmY5m8uurT282X3NVOgqGZBSB7Nv/cvP4009PRjuvMT/wvlMndvaZH5pYUM9cC+S//vsHzV/fc286yrP2ox85avai7bc//Eg6yiPlpU4lTjv11Obzn7swHdWV508/e+Gkfw3B4AKh8W66487m+ReOXgZ4nLR0abMpBWqoCk07dLzHnnp6Euf9L7+cfnOYsQRCPm0d+MILzp+Y5t77tk2sxN/f8/UGfv+zf9SU0HWrKQ++nDMEgwrk0Sefbq6/6ZZ01I0hK3SscMfd9zYPfPvBdHQY4kcch6amQyIOTIM4sBLHlEBYVl1y5ZeafWpUAy4eWUadtGxp+t9hP6ZePfoNWaFjBTofJhA/4jg0rARoL/mpoV3P+91PTtp4xbvflX5zBDqyNg1iorwYSD3kp0C6+LK6wEDKwVKLmVRz7u98sjnnwx+aLMmkv82WwQRy/z8+eNTakALL2lFDIDCBhpVgBXUQP0wgfsRxLOjkduQmP/ItQRkxgc5766avpKOjsTMJ4sAsDLJ2MMYPG5rBBELwCKKwLF1b/N0dt6ejoyFgmFATaGD0YIuT2Yf0MRlZusDoQxoYaQCjlR0F+0AMJN3aNG29oC0exA8T8CeOAuUQSLNPnDSkRxtryI98S1BGTMCf8zxqBII4Nm66YdKGApsEV37hknQ0PKMJpBQIAoZJw7XtOjyQZqf703qbjmShA56XZqpz01RfgnO/sXVb81i6TtIjj4YNg7PTFE3Zz/rQkWUhsOZ/7gdHGkWgcdjBoYzUyaZNvW65/ivp6GiIF+fw0+OctIShPORh4TxMoMzEm3J4sSJOl3zmwskSpA+UkTbWkB/5lqCMmIA/53nUCIQNIDYqBGYk0tNtNSSjCYTO9s3MDFKLN1rkyC3ngIAS2C4QdBpTsPUTaEBGf/LIIRejGpajLEtrIA9MQ6fDBMqKCErlgCs+f8lE0F2h7sRAY2PkQRkxAX/O82gTCPEibgIDLIMP9R6L0QQCNAQN0oecOBgxGC0YIemYmr+58S+PChYdxhOHpAO23EAj0piCVz9ghrBltFiBUB7KVQudBNPQ6bA+fPNrt79V91qoOzHQ2Bh5UEZMwJ/zPEoC8XZISYf0xmQwgVh1C3QgdjrskqUNljR6G5PRgoCQHiAgAkbDCSzVyEtARJdfc+2MZQ/C+PKVl80QEml96guXpqMjkJcNPnlhusEFrjcYEDiHWOgdFi0QhIFANOwG0RGkbgjuslRugc8wDWXALPixJKN+1B8fdn00DFqUtQvUe74EQjw2prx1O/apQx8GEwidjEa1o7qGDrAuNd7Hk5XEQsP+Sdql0BBUgqsh8JhAMDHhxq/dOaNzIDJmGS9v2zhefuB1FMTBVC/pWh8tEOpF/QTEgWAtX9x47VvXPNQJ01BvTGMHCKBdyJMNAOHcwnI0h60T5GKkoYyYgD/nedg2oM6U9fIvXzsjZqU0hmYwgQBKJ4i6MTy4PuGimspLp9LY2SMXEOtHQDHhU5+/dMaow2eYh20c8iNfi9dR7GimfUiDtED/XuAzfCz44c+MR6fX6QOdDhMQf27XUNISyI98u8D5pKMhDdIqQRkxAX/O87BtQFuRL6ah/9yZGeiGZlCBACMWSy09cudgGXDNFZdNZhYNMxFiE7yRkaCVGsz7nNmDPD1s4+i0NF66zB62Dh50FEyg8+fuCbRBOphAWSmzh51JS745vHqTBmmVoIyYgD/nedg2QAh6gNOwjBxra1czuEAEpkQahYsrWSp4EISbUwfTHdcGioASWGBtj7GW19jORqNgGr3UsZTy1HgdpZSuhvM4XyB98ukDdcOEUlr4YULJNwflpvwa0iCtEuSLCfhznodtgzZIh/TGZDSBaBALnZqLV+8aRY8GXkO0wfKCYOlRnEbBBAKJTw7bOPhyjsUrX1+B5K4/aqBumEBZKbMHfphQ8s1BuSm/hjRIqwT5YgL+nOdh20CgfYnTdTfeMmP5Tnsze4/JnAhEg0hYglmkk3kNUYKAcw2gZyAgmIhSwC/XMGAbB1/OsXjlk7K3wXmcL3AN1vViWaDTYQJlpcwe+GFCyTcH5ab8GtIgrRLkiwn4c56HbQOB9uUajHQwjbf8HpI5FwjYNTEQNILnNYSG0QQ/Rg9mHisMYSEIhPTJpw90FEwopYUfJpR8c1Buyq8hDdIqQb6YgD/nedg2ADuI/PEVX5qxCvGW6EMymEC4JpCC8xPV5yBgmIagETyWY2xLatjNwLpA+phAIEt39m3jSHksXkepFYgdGBB53yUCdcMEykqZPfDDhJJvDjZN2DzRkAZplSBfTMCf8zxsG3hLUK5puf+l4ZGca4zfUAwmEDoNnUcodRoChmkIGsGDP0zbs3qtiTiwLnhLudIdZNs4ujwa6khdNaW6arwylXbWShA/TKCslNkDP0wo+ZawMapZ3nSZyW36tDlmIf60g4Y0SXto5lwgbAPbGz8sm/Qevg0qo3/XfW/KQpk0zGqsZS2Uxc5auYB76ebqavHyYZkoGxRdoMNjAmWlzB74YULJt4Rd3iDsm687coPU4sWqJKpagXhxpCwMNkMzmkBodPt4CZ2ehmK61thO4k2jNCr3THR6QJ6kyd1snQbUNuj1SZCPprJpyMt78pX8qKumViDAuaSh8YTLQMLTx8TK68z2Jinx8fzALu1KviVsOkBM6cS0oUAHxo92sdCJOcejViBgB1HAFxuS0QRSC7MH63AbNC89ZpLT3nfqpIH5jM5PYwCf2VmGBsI05ENjSho0pKShwQ+fT68/f3KML+b548f1BHUhbfxz0OHtWh44nzU3S0t8nksmN8nozOQBXOtxX2l7+imfA/XH56yUhoiti28N1JuyU8Y+2AtuIE2eTdNtKRBHBj5iKuVk8GRg0PERqBf9g3tiNp++zKtA6FA0Pp3DQrBIk8DV4k3f+pmmEnROOyIB5aMzITSsDfEvQcelU9RCeqQLxKQU576+tdBB7exeA53czvBA+ShnCWYFDGgDrESfeuUYTCAEjoLXdEYgYFSaUSIHywwuahm1SyA0hEF6FtKgM3qdHziXJQ7lpvwWAk3A+QxrQ/zbIF7UrW0AIE4IX2ZGOhOdKgd5Uwbo4tsFZjjKXkpbYAag/N5yFUiDcpagXTGgDbASfevlMZhABEZ+Kk3D81NDsJgtGK1LwrDQIKSF6emdqZRg5IKvIQ1GboQgUA46IJ2PclNmC3mUPreIfy0IBfHqtBEt9aJ8Nk7UQ8fAwrnEGLr49oH0aRNM5yPpUn5+lmAA023iQb+RONS0g+Q/BIMLJAimiRBIEBQIgQSjwXJIlkYLlRBIMDhcm7DThUCADRQu1BcigwiEQHxv587JTy6g+Cl70owgv3b64TduBMcG3CtBJBp2CuVexkJiVgJh94ItN362gUDYMeJmUZddnmDhYe+IA9u02EKjl0DYmrs53Vuwj2fUwP40W5jB9GIfNgWWWCy1FhqdBYI47MOGXQiBTD/c2+HmrIiE9qbdFyKdBII4vJe5cWOG5RNrTH2DBj8ecNM3gggUAQumG/oK7U7f0H1iodFJIFxvYBruHNPpc9cV+GMCviGQYKFQLRBGBPvKeUYHHl/OiQMQBybUCIRHL7jwZwYSuMjnPPsIvYZzPBCxnEPamCwRSZdHIjANnz+e/PR1FvkzU3KOR5/82e3jBdWlenkQm++l/MhTtwmjNe1CWTEPzpXlj8Y+0sEzcKQvkF6p/vQRZg0PnXYJykZ8dL7EiLzbXjgIlIE//8f51AE4X3ZUu8a5WiA8x8S6UlOzdYc4MKEkECpFHlIxDyrLbggvnrN4uydAnnQa0qYBPKgHbz8neJQXy5Grd1v++t6AhcbjOyh08BKUv/ZBQWJFrO3XUXk40Dt/Ete0y9i2AYMfZiFN0vbAH8tBXGgf0shBfS5Psc89e8eb7Wk3PWB48BXdT6eytMUaqgXifUGl9BVWgQbVo5UeTTUEBxHWQgelo2pyHZQdlG9UBE4akCCXoKG8FwXk8ifdtjQhl65AfO5M4mirh8V+oYtO7HVExMH9LNqsDcRsOyppkrYHMcA8yM++e7cE3x+yndt+gawNyoK1US0Q+xpPRiZGxiHwvqvNlMyyBzExuiBOLTSwjUTjMMXaaZ6OJ2Wn3IzmpEWD5iB/Oiq+NCA3QDUsNez3G8ifslpfC4OELaPgpQuUgRtwFvwpJ1B36mTTtgKhM+GDbw7qTyckTl6dyJPltYYyMpBaX6AzYhbK7C3dqRf5kxb9g3II9Av9MgfqQew1nM8gCpTfLhcpC9ZGtUDs6Eji2GzxAkQAmB0Qh0DwCYIOlNdIQAewowlBJ6gIRCDwVphAcJl1JH/KSOeksYRc3pDLnzppQbPDR8NZvJmZ/ImBQHoMUHQiDZ2AOGmsQIRc/WlXTKD+pImoNNSfOFjwt2/LJz3MYr/uzOBBvXT92TZmeSow4Ok31Ng4MhN63yjU92coC9ZGlUC8oJM4Nlu8RvI6CLBMwTQEU3d6wAfT0DllRBG8hqTj0fA2f6/T5zoeeWMab1kAjLjMjhpbVttBwM6egtdWuXJ6vgxODCQWrwxe7IWaAZWR3b58wUvT89N1og7URSAfzKL9+Bxro7dAcg3UFTsy5hoIvEBRSUxD58Q0dHpvtLMNmcvfE7JuJA15YwKjon5vsMbreNQHE6yIWP787U3+7OW1Va6cnq/XQcGLvRWyxsaV+mAaO/Ln4mRjZP2oA3URuAi3GxNAP5MZhBh6/cHSWyC5QHalJpAaPU0CZaAsGjonpsl1EvvmE/LGLF4McmmSNyZ4ZdTYGFh/e/2XW0JAl3J6vrnZG2w5iRPmUeNrB0c+xzSUkWVYqf52AAFiyKMtDHizobdAqAg2G7xRiY5B5XJQDsoj4Ms5Gjonpsl1EpsedcIs+OCryaVJ3pjglVFjO5P292JUGrm7lLOLL9hyEifMo8bX+lAv6s6AhbFrRxk1LIFZrurRHz92QT24XuE+E+lybdmVeRWIly4dg8rkwJ/zBHw5R0PnxDS5hrfpUSfMgg++mlya5I0JXhk1pEv6gvbn93yu4TN8PDz/XDm7+ILt0MQJ82jz9YTfBuJg88QbHGreXoNYuH+my9FGlUDAVpipy1urd8FroFLjA/6cJ+DLORo6J6bJNbxNj+BhFnzw1eTSJG9M8MqoIV3SF7Q/v+dzDZ/h4+H558rZxRdsHyBOmEebr5d3CeqLOLyNDoGYc62ol+AeCIzZqoZqgViFMsVx4VsDwQBGAF1Bfm+DVGp8wJ/zBHw5R0OgME2u4W16NCJmwQdfTS5N8sYEr4wa25m0v5cvn+Hj4fnnytnFF2w5iRPm0ebLtQfXIDm4EKevYAzG9Lca2Jnkwp9rEuqXA4EglDaqBWJ3HKDUUBodLPw5D6iM3WYliFgOpmWmZ8FesAGdE9PkGp4OogNJ3pgFH3w1uTTJGxN0nS1eDHSdvHxLjev558rZxRd0OwJxwjxqfGt8Zgs7YGzPU1dNqU001QIhAxvM2kx0IOw5dheJ0SK3dPM6k7fdTOfENLmGp07UTaCBMAs++GpyaZI3Jtg6a7wLTC0Ar85aQJYu5eziC7odgThhHjW+tu1LcSohsSYtYsOsY6Ge1FdTqqtQLRCwyyygIWnQHLaBbRDszMSFlH3HrsD6Ut+LYMnGMs/6EjBMkwuGDRyNiFnwwVeTS5O8McHWWcMyg+WGhjrpJYXtSHyGj4eNEeTK2aVOUNPphRpf2/ZAnIhXDvqTbW+dV+582gMT6Dv6Lwrk6CQQGpIGtVCg3J4zhcIEfKmE4DWSJzrytg+0sW3nPbdEfpgm1/D2HgONiFmYqvXNKsilSd6YQIfetPGqyU8NHZkOrSGGdgb17uJTRkzjxQhy9za61ImOqQc6IH/MwhKYpbAGP0zjtT2jP23PTw1p8rb7x1KZ7QCqBcKFPH3RQj7kJ9h+mKOTQMBbEmioGOoEXSDBK5gtPODHHdH3pE7FZ/YN5dwJZT9cB4qyMcNZXyA9jEYi2IxcjMqco6ETfyBdILIdiD95Y/hznobPqS/TOucJiAOz4LsilXtZKjNp2vSAmUGnBfgxMNndGeJDGXIxEsgXPyknvlhNnfgcP/wxDZ/jz0DFT/HlAhmxaqyv4N3kA3wox49Tms+/+OKM9GhDTNACAQTC+fRD3gLPs1627IiQgbiNzgIBOlVJJCUouBUIoxMioXPXQMVJgwBqSMMGwsIIiQ++JWgAjI6OlaAs1EvAH+tKqdFqY87uD3ixlHJSNqyE+HaJVRdfoWvbA2JjIBGsQNrwZukcvQQCjBYEmRGjFkZ9guN1AgLFdE+QS9BodCSCZCHQbef/PAoEwbM08OKiQSQsy+xMIiAOlpz4UEeLlJOyYSXEl3RqY9XFV0PbU+aavkSZiJUeHO3jRyXOTTNjboPDo7dABIRCYDCWLBZEQWWoGD/bIB06AmnJtMp5ND67VaSTQ84rQeNQ5rbGIB+M8mAlWDZowdL5MIF0aFSuNygf6REXzmE043y9VCxB2VmSYAICIx0RWC4O5EOe5I+VEF/yq41VF18POd8rG/XjPPqCB+dg9BlPLJwrderCrAUSHA3iwAQahxE5WHiEQEYAcWBCCGThEgIZAcSBCSGQhUsIZAT4/gJbi0IIZOESAhkQbujxTiYuNnNwsVm7xRjMPyGQAWGLk52UEjGbLCxCIAMSApk+QiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQFQiBBUCAEEgQF/h8XAve67fe1mwAAAABJRU5ErkJggg=="
"MixerBox_Translate_AI_language_tutor","MixerBox Translate","Translate any language right away! Learn foreign languages easily by conversing with AI tutors!","MixerBox Translate is a versatile translation plugin that supports mutual translation and language learning between multiple languages. It not only helps users understand the meanings and usage of words but also provides pronunciation and phrase usage for foreign words. Additionally, it offers simulated conversations in specific contexts, enabling users to better handle real-life language interactions. MixerBox Translate combines the functions of translation, language learning, and practical application, making it a highly useful tool. In today's globalized world, overcoming language barriers is an undeniable challenge. However, with the advancement of technology, translation and language learning tools make language acquisition easier for us. These tools provide convenient ways to translate texts, learn new languages, understand cultural differences, and play a vital role in cross-lingual communication.","https://translate.mixerbox.com/.well-known/openapi.json","https://static.mixerbox.com/chatai/chatgpt-plugin/Translate_logo.png"
"Paraphraser","Paraphraser","Say it better, say it different: Paraphrase like a Pro. Paraphrase for impact and inspire.","Paraphrase any text.","https://paraphraser-best.vercel.app/.well-known/openapi.yaml","https://paraphraser-best.vercel.app/imgs/logo.png"
"shimmer_daily","Father's Day Deals","Ideas, recommendations, and deals for Father's Day gifts.","Return ideas, recommendations, and deals for Father's Day gifts.","https://shimmer-payments.vercel.app/openapi.yaml","https://shimmer-payments.vercel.app/logo.svg"
"CribbageScorer","Cribbage Scorer","Tool for scoring your cards in the game of cribbage.","Tool for scoring your cards in the game of cribbage.","https://cribbage.azurewebsites.net/openapi.yaml","https://cribbage.azurewebsites.net/static/crib_scorer_logo.png"
"talkfpl","TalkFPL","Talk with AI to help you manage your FPL team. Compare players, transfer options and more.","Talk with AI to help you manage your FPL team. Compare players, transfer options and more.","https://talkfpl.beegreeeen.workers.dev/openapi.json","https://talkfpl.com/assets/football-icon-47e39991defc5f4e66807b288c8dedfde526927a788b9622edf8090a683aaeaa.png"
"currencyconverter","Currency Converter","Convert currencies based on real-time rates!","Convert currencies based on real-time rates. Include the following words in your prompt - 'convert', 'amount', 'from' and 'to'.","https://currency.orrenprunckun.com/openapi.yaml","https://currency.orrenprunckun.com/icon.png"
"Gate2AI","Gate2AI","Discover the perfect AI tools for your needs.","a universal plugin designed to identify and suggest appropriate AI tools for any task. Input your task, problem, or use case into the plugin, and it will generate a curated list of suitable AI tools. Please note the importance of reorganizing the provided tools by their relevancy to your specific use case. In situations where none of the returned tools seem to match your needs perfectly, it's essential to clarify that these are related tools.","https://gate2ai.com/openai/api.json","https://gate2ai.com/images/favicon-dark-large.png"
"WebRewind","WebRewind","Get the picture of a website at a specific date.","Plugin for getting a picture of a website at a specific date. The user should provide a website and a time. When use it provide the image in Markdown format and give a brief description of the website at that time.","https://webrewind.app/openapi.yaml","https://webrewind.app/logo.png"
"alagaAI","alaga.ai_PH","Get the latest info about the health programs and services in the Philippines.","Provides a knowledge base of the programs and services from the Department of Health of the Philippines.","https://alaga-ai-h43cosb3ia-uc.a.run.app/openapi.yaml","https://alaga-ai-h43cosb3ia-uc.a.run.app/logo.png"
